ID,text,cue,emotion,emotion,cause
239, الكتاب لم يقدم لي أي فائدة حقيقية أو رؤية جديدة، مما جعلني أشعر ب [MASK]   والخيبة تجاهه,غضب,الغضب,Anger,لم يقدم لي أي فائدة حقيقية أو رؤية جديدة
240, الكتاب يلقي فى نفسك  [MASK]   لأنه يلقى بظلاله على الواقع الاليم للفقراء والمعاناة فى الحياة,حزن,الحزن,Sadness,يلقى بظلاله على الواقع الاليم للفقراء
241, الكتاب يمثل أصعب أنواع الأدب ، كاتبه يجعلك [MASK]  ان لا تفهمه,خوف,الخوف,Fear,لا تفهمه
242, الكتاب ينتهي نهاية  [MASK]   حيث تلتقي بزوجها بعد خروجه من الأسر,سعيد,الفرح,Joy,لتقي بزوجها بعد خروجه من الأسر
243, الكتيب ينتمي للفئة الثالثة.  [MASK]   بشكل مبالغ فيه. لدرجة جعلني أحمد الله علي عدم الاهتمام بالسلسلة,قزز,الاشمئزاز,Disgust,الكتيب ينتمي للفئة الثالثة
244, الكلب  [MASK]  خلال لحظات قليلة من دوي القنابل,فزع,الخوف,Fear,دوي القنابل
245, الماء كان قذر لدرجة أن لونه يميل إلى السواد لم نستطيع استخدامه ل [MASK]   منه,قزز,الاشمئزاز,Disgust,الماء كان قذر لدرجة أن لونه يميل إلى السواد
246, المترجم لا يتمتع بالأمانة  [MASK]  اضاف آية للنص ليست موجودة في المصدر دون التنويه لذلك,فاجأ,المفاجأة,Surprise,ضاف آية للنص ليست موجودة في المصدر
247, المسبح مميز يشعرك ب [MASK]   غامرة,سعادة,الفرح,Joy,المسبح مميز
248, المصري لا يعمل أبدا إلا  [MASK]   من العقاب,خوف,الخوف,Fear,العقاب
249, المطعم  [MASK]   جدا فبعض الملاعق تلاحظ عليها الصدأ ومكان الطاولة اضاءته غير مريحة بالكاد ترى الاكل,قزز,الاشمئزاز,Disgust,الملاعق تلاحظ عليها الصدأ
250, المعارضون  [MASK]   من انتقـال هذه المقاطع الجينية من النبات إلى الجراثيم التي تصيب البشر,خشي,الخوف,Fear,انتقـال هذه المقاطع الجينية من النبات إلى الجراثيم
251, المعلومات موجزة و غير مفصلة ثم  [MASK]   انتهى الكتاب و ظهرت لي الملاحق,فجأة,المفاجأة,Surprise,انتهى الكتاب و ظهرت لي الملاحق
252, المفردات والشتائم تخطت الحد المقبول في رأيي و اشعرتني ب [MASK]   من الرواية,قزز,الاشمئزاز,Disgust,المفردات والشتائم تخطت الحد المقبول
253, المقاطع التي فيها إساءة معاملة الحيوانات تصيبني ب [MASK] ,الاشمئزاز,الاشمئزاز,Disgust,المقاطع التي فيها إساءة معاملة الحيوانات
254, الممر الى الغرفة  [MASK]   و يشبه ممرات السجون التي نراها في التلفزيون,قزز,الاشمئزاز,Disgust,يشبه ممرات السجون
255, المنتمين للمجموعة يتصرفون حسب ما تمليه رغبات الأكثرية  [MASK]   من الابعاد و التعرض للاساءة و الأذى,خوف,الخوف,Fear,التعرض للاساءة و الأذى
256, المواطنين  [MASK]   من المطالبة بحقوقهم لأن السلطة تتمادى بالاستبداد,خاف,الخوف,Fear,السلطة تتمادى بالاستبداد
257, النزعة الصوفية  [MASK]   تملكت البطل و استمرت طوال الرواية,فجأة,المفاجأة,Surprise,استمرت طوال الرواية
258, النزلاء يضعون ملابسهم في الممرات بشكل  [MASK]   أتمني من بوكنق ألغاء الفندق من الموقع,قزز,الاشمئزاز,Disgust,النزلاء يضعون ملابسهم في الممرات
259, النهاية  [MASK]   فالكاتبة تقول انني لن أعود أبدا إلى وطني,حزين,الحزن,Sadness,لن أعود أبدا إلى وطني
260, النهاية  [MASK]   كان افضل لو كانت الأحداث مكثفة اكتر بدون حشو كلام كتييير,حزين,الحزن,Sadness,الأحداث مكثفة
261, النهاية مفتوحة اثارت  [MASK]   قليلا,حنق,الغضب,Anger,النهاية مفتوحة
262, النهاية جاءت  [MASK]   كأن موعد الرحيل قد حان حتى لو لم تنتهي الحكاية بعد,فجأة,المفاجأة,Surprise,موعد الرحيل قد حان حتى لو لم تنتهي الحكاية
263, النهاية غير متوقعة و  [MASK]   مقتبسة من اكثر من عمل قديم عربي واجنبي,مفاجئة,المفاجأة,Surprise,النهاية غير متوقعة
264, النهاية كانت  [MASK]   بالنسبة لي فموت جان كان مؤثرا لان  هذه الشخصية رافقتنا منذ بداية الكتاب,حزين,الحزن,Sadness,موت جان كان مؤثرا
265, النهاية لم تكن بالحسبان أبدا،  [MASK]   أن الواقع ليس أقل سوءا مما ذكر بالرواية,حزن,الحزن,Sadness,الواقع ليس أقل سوءا مما ذكر بالرواية
266, الوزير يواجه موجة  [MASK]   عارمة يقودها مستخدمي النقل الحضري العاطلين,غضب,الغضب,Anger,مستخدمي النقل الحضري العاطلين
267, الوعد بالتعويض على خطأ الإدارة لم يتحقق يا لها من  [MASK] ,فاجأ,المفاجأة,Surprise,الوعد بالتعويض على خطأ الإدارة لم يتحقق
268, الى متى تظل المرأة تحرص على الاخرين  .. [MASK]  لانها لا تفكر ولو لحظة واحدة في الذي يعجبها هي,غضب,الغضب,Anger,المرأة تحرص على الاخرين
269, اليهودي  [MASK]   على نفسه من حجر يرميه طفل عربي ثائر غيور يدافع عن أرضه,خاف,الخوف,Fear,حجر يرميه طفل عربي ثائر
270, امر  [MASK]   ان يتحدث عن أخلاق الإسلام التي تمسك بها بعض الأمريكان بينما نحن لا,حزن,الحزن,Sadness,أخلاق الإسلام التي تمسك بها بعض الأمريكان
271, امنه  [MASK]   البحر الذى سرق منها زوجها واختفى ابنها على احدى سفنه ولم يعد,خاف,الخوف,Fear,البحر الذى سرق منها زوجها
272, ان  [MASK]   كبير بسبب تجاهل الفلم للمشاكل البيئية والتهديدات التي تواجه الكوكب,حنق,الغضب,Anger,تجاهل الفلم للمشاكل البيئية
273, ان  [MASK]   من النسيان جعله يسترجع أدق تفاصيل حياته,خوف,الخوف,Fear,النسيان
274, ان الحياة يمكنها ان تصبح اكثر  [MASK]   بوجودك مع من تحب ,سعادة,الفرح,Joy,وجودك مع من تحب
275, ان انهاء كتابة الاطروحة ستجلب له  [MASK] ,سعادة,الفرح,Joy,انهاء كتابة الاطروحة
276, ان بعض احداث الرواية تختصر  [MASK]   وبدون مقدمات,فجأة,المفاجأة,Surprise,بعض احداث الرواية تختصر
277, انا  [MASK]   الكثيرين من قراءة مثل هذه الكتب التي تطرح أفكارا مختلفة,خاف,الخوف,Fear,تطرح أفكارا مختلفة
278, انا  [MASK]   بالتجربة فى حد ذاتها و تأثيرها فى شخصيته الإيجاب,سعيد,الفرح,Joy,تأثيرها فى شخصيته الإيجاب
279, انا  [MASK]   جدا .مجرد أفكار تبعث على الغثيان ... الكتاب الاول الذي أقرأه لفاتحه مرشيد. والأخير,قزز,الاشمئزاز,Disgust,مجرد أفكار تبعث على الغثيان
280, انا  [MASK]   على اني ضيعت مالي و وقتي في هذا الكتاب السيء,حزين,الحزن,Sadness,ضيعت مالي و وقتي في هذا الكتاب السيء
281, انا في حالة  [MASK]   من نفسي الامارة، من العالم، من الناس، من الظروف والوضع الحالي لكل شيء!,غضب,الغضب,Anger,نفسي الامارة
282, انتابني شعور ب [MASK]   عندما وجدت ان اصل الكلمه في ماده ج ب ل وهي فعل بمعني خ ل ق,قزز ,الاشمئزاز,Disgust,اصل الكلمه في ماده ج ب ل وهي فعل بمعني خ ل ق
283, انتظرت قرابة النصف ساعة لحظة وصولي و [MASK]   سائق التاكسي من هذا التأخير وكل هذا بسبب انتظار عربة الحقائب,غضب,الغضب,Anger,التأخير
284,  الناس  [MASK]  من زمن كانوا لايعلمون شيئا عن العالم الخارجي انتقلوا  الى عالم السيارات والحفارات والراديو,فجأة,المفاجأة,Surprise, انتقلوا  الى عالم السيارات والحفارات والراديو
285, الرواية  [MASK]   انتقلت من صاحب المطعم إلى العميل,فجأة,المفاجأة,Surprise,انتقلت من صاحب المطعم إلى العميل
286,  الرواية  [MASK]  انتهت وكنت أتمنى أن أتابع رحلة نادية بعد أخذها قرار السفر,فجأة,المفاجأة,Surprise,نتهت وكنت أتمنى أن أتابع رحلة نادية
287, انتهيت بتنهيده وتأمل لاحوال البشر بعد الرواية لقد آثار  [MASK]   في نفسي,اشمئزاز,الاشمئزاز,Disgust,احوال البشر بعد الرواية
288, اندفعت  [MASK]   وشعرت بنار تشتعل داخلي عند فقدان السيطرة على الأمور,هائج,الغضب,Anger,فقدان السيطرة على الأمور
289, انذار الحريق  [MASK]   يصدر صوته يوميا بسبب استخدام اي شقة فرن المطبخ,رعب,الخوف,Fear,انذار الحريق
290, انعدمت المساحات الخاليه  [MASK]   أن يختنق,خاف,الخوف,Fear,انعدمت المساحات الخاليه
291, انفق الدولارات القليله الاضافيه ولا تشعر بالخجل امام عائلتك مثلما شعرت انا ب[MASK]  من هذا المكان الغير لائق ,قزز ,الاشمئزاز,Disgust,المكان الغير لائق
292, اننا حقا  [MASK]   التغيير و نسعي لقتل الاختلاف,خاف,الخوف,Fear,التغيير
293, اننا نخلق الشجار الصغير  [MASK]   من ان تصفو سماؤنا فنرى بوضوح ما نحن عليه,خوف,الخوف,Fear,نرى بوضوح ما نحن عليه
294, انني  [MASK]   بوجود كتاب يحاكي تجربة جراي في رجال المريخ ونساء الزهرة بلغة شيقة,سعد,الفرح,Joy,كتاب يحاكي تجربة جراي
295, انني اشعر ب [MASK]   من الشعب اذا عمل ثورة فعلا ولم يغير نفسه,خوف,الخوف,Fear,الشعب اذا عمل ثورة فعلا ولم يغير نفسه
296, انه  [MASK]   المقنع بوجه البهلوان الضاحك الذي يلقي النكات,سخط,الغضب,Anger,البهلوان الضاحك
297, انه  [MASK]   منهم لانهم يقرأون التاريخ,خاف,الخوف,Fear,يقرأون التاريخ
298, انه ل [MASK]   شديد ان يكون هذا الكتاب نفاقا لحاكم ,حزن,الحزن,Sadness,يكون هذا الكتاب نفاقا لحاكم
299, اني  [MASK]   ان عصيت ربي عذاب يوم عظيم,خاف,الخوف,Fear,عذاب يوم عظيم
300, اني  [MASK]   انه ترك النهاية مفتوحة,أغاظ,الغضب,Anger,ترك النهاية مفتوحة
301, اني لخليق ان امزق صدري  [MASK]   كلما فكرت في ضآلة قدرة كل منا على التأثير في مشاعر الاخر,غيظ,الغضب,Anger,ضآلة قدرة كل منا على التأثير في مشاعر الاخر
302, بالغ الراوي في وصف مشاهد التعذيب والقتل بطريقة أشعرتني أحيانا ب [MASK]  ,قزز,الاشمئزاز,Disgust,وصف مشاهد التعذيب والقتل
303, ببساطة  [MASK]   مما قرأت فهي من الروايات القليلة التي بعد ما أنهيتها ام اندم لأنى قرتها,فاجأ,المفاجأة,Surprise,بعد ما أنهيتها ام اندم لأنى قرتها
304, بت  [MASK]   بشكل أكبر من القطط السوداء,خاف,الخوف,Fear,القطط السوداء
305, بدأ الكاتب يثير  [MASK]   ، ويؤكد فكرتي عن نوع الفكر والسخرية الأربعينية,قزز,الاشمئزاز,Disgust,الفكر والسخرية الأربعينية
306, برأ السلطة الحاكمة المستبدة من اي مسئوليات مقارنة بجمال عبد الناصر و عصابته الذين صب عليهم جم  [MASK]  ه,غضب,الغضب,Anger,جمال عبد الناصر و عصابته
307, برغم أنني لا أحسبه شعرا .. إلا أنه  [MASK]   بجرأته و واقعيته,فاجأ,المفاجأة,Surprise,جرأته و واقعيته
308, بطل الرواية شاب في أول العشرين طائش و سريع الانفعال اشعرني ب[MASK]  ,غضب,الغضب,Anger,طائش و سريع الانفعال
309, بطل جبان ..  [MASK]   من ات يفكر أو يبحث عن حلول,خاف,الخوف,Fear,جبان
310, بطلة الرواية شخصية لا يمكن ان تجدها في الواقع، أنانيتنا مثيرة ل [MASK]  ,اشمئزاز,الاشمئزاز,Disgust,أنانيتنا مثيرة
311, بعد الأندماج تماما مع المشهد تخرج عنه الكاتبة  [MASK]   فتبدأ بذكر تفاصيل عن أبيها,فجأة,المفاجأة,Surprise,بعد الأندماج تماما مع المشهد تخرج عنه الكاتبة
312, بعد فراغي من هذه الرواية شعرت بالأسى و [MASK]   على سير الأحداث,غضب,الغضب,Anger,سير الأحداث
313, بعض الشخصيات أقحمت فى الأحداث [MASK]  مثل خيرية التى ظهرت فى منتصف الرواية,فجأة,المفاجأة,Surprise,بعض الشخصيات أقحمت فى الأحداث
314, بكل ذرة في كياني كنت أتمنى أن أكون بدلا منه كي أسبه بكل ما في جعبتي من  [MASK]   لسفالته,غضب,الغضب,Anger,سفالته
315, تأخذك الرواية إلى عالم مظلم  [MASK]   لا توجد به بقعة ضوء واحدة وتكاد من فرط القذارة تفر هارب,قزز,الاشمئزاز,Disgust,تأخذك الرواية إلى عالم مظلم
316, تتحدث الكاتبة عن عائلة من بيئة محافظة لتنتقل للحديث عن الأخت الصغرى للعائلة [MASK] ,فجأة,المفاجأة,Surprise,تنتقل للحديث عن الأخت الصغرى
317, تتحدث عن المتطرفين الذين ينشرون  [MASK]   بأسم الدين,خوف,الخوف,Fear,أسم الدين
318, تتحدث في هذا الكتاب عن زيارتها لبلدي العراق طرت  [MASK]   وكانني فراشة اتنقل معها,فرح,الفرح,Joy,زيارتها لبلدي العراق
319, تتغير أمراض النخبة في مجال العمل السياسي و الثقافي بشكل  [MASK]  ,رعب,الخوف,Fear,أمراض النخبة في مجال العمل السياسي
320, تتوقع النهاية ثم  [MASK]  ك الكاتب بواقع بعيدا عن قصة الكتاب,فاجأ,المفاجأة,Surprise,واقع بعيدا عن قصة الكتاب
321, تجاهل حقوق الأطفال في قضايا الطلاق وحضانة الأطفال  اثار  [MASK] ,حنق,الغضب,Anger,تجاهل حقوق الأطفال
322, تجاوب الجمهور معها  [MASK]   الكحلاوي فهرب من الحفل,فزع,الخوف,Fear,تجاوب الجمهور معها
323, تجعلك الرواية تبكي و تشعر ب [MASK]   خاصة أخر فصل عند موت عمار,حزن,الحزن,Sadness,موت عمار
324, تحدثت الكاتبة عن علاج والدتها كانت التفاصيل  [MASK]   في حديثها عن من قابلتهم في المستشفى,حزن,الحزن,Sadness,علاج والدتها
325, تحمل الرواية الكثير من  [MASK]   .. والكثير من البكاء ... أنهيتها بوقت قياسي جدا,حزن,الحزن,Sadness,الكثير من البكاء
326, تحول البطل  [MASK]   فى النهاية من شخص رقيق محب لشخص مستغل,فجأة,المفاجأة,Surprise,من شخص رقيق محب لشخص مستغل
327, تحولت مصر إلى سجن كبير و  [MASK]   اكبر,رعب,الخوف,Fear,سجن كبير
328, تخيلي أنك تعيشين في بلد لا يسمح لك فيه أن تجني مالا إنه شيء  [MASK]  ,رعب,الخوف,Fear,لا يسمح لك فيه أن تجني مالا
329, تدمع العين  [MASK]   لقصر حياتها و لما وجد صاحب التضحية والوفاء من جحود ونكران,حزن,الحزن,Sadness,قصر حياتها
330, تدمع عينيك ألما و [MASK]  . كيف للحرب أن تخلف أضرارا أكثر مما وصفه,حزن,الحزن,Sadness,كيف للحرب أن تخلف أضرارا أكثر مما وصفه
331, تدني الأخلاق الشديد لدى الصديقين في فعل الموبقات في الكتاب أثار  [MASK]  ي,اشمئزاز,الاشمئزاز,Disgust,تدني الأخلاق الشديد
332, تراجعت  [MASK]   من أن أفقد هؤلاء الكتاب المتميزين في معرض الكتاب القادم,خوف,الخوف,Fear,أفقد هؤلاء الكتاب المتميزين
333, ترددت كثيرا فى كتابة قصتها مع مرض ذهان الهوس الإكتئابى  [MASK]   من نظرة المؤتمر,خوف,الخوف,Fear,نظرة المؤتمر
334, ترددت لبضع لحظات قبل فتح عيني  [MASK]   من ألا أرى سوى ذلك الضباب الأبيض,خوف,الخوف,Fear,ألا أرى سوى ذلك الضباب الأبيض
335, تسأل الواحد منهم عن المتنبي ، فينظر إليك ب [MASK]   كأنك تحدثه عن الزائدة الدودية,اشمئزاز,الاشمئزاز,Disgust,المتنبي
336, تشعر  [MASK]   وانت تسمع اصوات المدافع فى بيروت وتهتز من القصف,رعب,الخوف,Fear,اصوات المدافع فى بيروت
337, تشعر المحامية بشيء من  [MASK]   عند بدء كل قضية جديدة,اشمئزاز,الاشمئزاز,Disgust,بدء كل قضية جديدة
338, تشعر ب [MASK]   لأنه لم يعد هناك نفس البشر ،لم يعد هناك نفس الظروف ،لم تعد انت نفسك,حزن,الحزن,Sadness,لم يعد هناك نفس البشر
339, تشعر ب [MASK]   والرعب وانت تسمع اصوات المدافع فى بيروت,خوف,الخوف,Fear,صوات المدافع
340, تشعر بالاستفزاز والقهر و [MASK]   عندما تقرأ كتبا من نوع: حيونة الانسان,غيظ,الغضب,Anger,تقرأ كتبا من نوع: حيونة الانسان
341, تشعر تجاه موتة البطل البشعة ب [MASK]  ,اشمئزاز,الاشمئزاز,Disgust,موتة البطل البشعة
342, تشعر شخصياتها ب [MASK]   بسبب ارتطامها بعالم فقد إحساسه بالسخرية,حزن,الحزن,Sadness,ارتطامها بعالم فقد إحساسه بالسخرية
343, تصرفات الجيران مزعجة  و المكان ملئ بالضوضاء والصخب شعرت ب [MASK]   في هذا المبيت,الاشمئزاز,الاشمئزاز,Disgust,تصرفات الجيران مزعجة
344, تصور الرواية وضعا مقرفا جدا . أن هذا  [MASK]   كان هدف الكاتب، وقد حققه,اشمئزاز,الاشمئزاز,Disgust,تصور الرواية وضعا مقرفا جدا
345, تصور كثير من الشخصيات العربية المنبهرة بالغرب تحديدا بأمريكا ، و  [MASK]   على الحياة في الدول العربية,ساخط,الغضب,Anger,الشخصيات العربية المنبهرة بالغرب
346, تعامل المديرين على مستوى العمل يمكن أن يثير  [MASK]   أكثر الناس حلما,غضب,الغضب,Anger,تعامل المديرين على مستوى العمل
347, تعرض الأطفال للعنف المدرسي والتنمر زادني  [MASK]   يجب أن نتخذ إجراءات لحمايتهم,حنق,الغضب,Anger,تعرض الأطفال للعنف المدرسي والتنمر
348, تعليقات الضيوف شدتني الا السكن في الشقق لكن  [MASK]   ان الشقق لا تصلح ابدا,فاجأ,المفاجأة,Surprise,الشقق لا تصلح ابدا
349, تعيش مع اللاجئين تفاصيل الحياة  [MASK]   و تبكي لحال البعد و الفرقة و الشتات,حزن,الحزن,Sadness,البعد و الفرقة و الشتات
350, تغرقك الكاتبة فتجد نفسك تحلق فى السماء و [MASK]   تقع للواقع وما يحدث فيه من دمار,فجأة,المفاجأة,Surprise,تقع للواقع وما يحدث فيه من دمار
351, تفاعلت جدا معه وهو يعلن بيان حل امن الدولة و صفقت  [MASK]   لانني شعرت انها الثورة المطلوبة,فرح,الفرح,Joy,شعرت انها الثورة المطلوبة
352, تفيض قلوبنا ب [MASK]   . عندما نلمس الجانب الطيب في نفوس الناس,سعادة,الفرح,Joy,الجانب الطيب في نفوس الناس
353, تكون في بلد أوروبي هادئ لكن يرميك الكاتب وسط المخيمات والمذابح [MASK] ,فجأة,المفاجأة,Surprise,يرميك الكاتب وسط المخيمات
354, تلامست يدي مع شيء بارد في ظلام الليل، شعرت برعشة  [MASK]   تسري في جسدي,رعب,الخوف,Fear,تلامست يدي مع شيء بارد
355, تلك الرواية  [MASK]   تعرض رحلة بؤس وشقاء على وفاطمة و الضياع الابدى,حزين,الحزن,Sadness,رحلة بؤس وشقاء على وفاطمة
356, تلك السخرية ليست سواء قناع يخفي خلفه  [MASK]  ه ومرارته لشعوره بالنقص,حزن,الحزن,Sadness,مرارته لشعوره بالنقص
357, تم سرد بعض المشاهد بطريقة لا تعرض بالافلام حتى اشعرني ب[MASK] ,قزز,الاشمئزاز,Disgust,سرد بعض المشاهد بطريقة لا تعرض بالافلام حتى
358, تمالك أعصابك في لحظة [MASK]  من الخدم الغير مؤدبين، وستوفر على نفسك أياماً من الندم,غضب,الغضب,Anger,الخدم الغير مؤدبين
359, تمضية وقتي مع أحبائي تجعلني  [MASK]  ,سعيد,الفرح,Joy,تمضية وقتي مع أحبائي
360, تمنيت أن يكون ختامها مسك وهو الأمر الذي لم يتحقق مما زاد من  [MASK]   على الرواية ,حنق,الغضب,Anger,الأمر الذي لم يتحقق
361, ثارت اعصابي و طلبت المدير و لما رأونا مستشطين من  [MASK]   قامت المديره باسترجاع المبلغ لليله الواحده,غضب,الغضب,Anger,ثارت اعصابي
362, ثمة خسارة كبيرة الى حد لا خسارة بعدها رواية تستحق  [MASK]  ,حزن,الحزن,Sadness,ثمة خسارة كبيرة الى حد لا خسارة بعدها رواية
363, جذبني العنوان لاقرأ الكتاب لكن  [MASK]   عندما علمت أنه كتب بفترة الخمسينات أو الستينات,فاجأ,المفاجأة,Surprise,عندما علمت أنه كتب بفترة الخمسينات
364, جرائم بشعة ترتكب في كثير من الأماكن هذا مثير ل [MASK] ,الغضب,الغضب,Anger,جرائم بشعة
365, جرني [MASK]  من هذا المدير المستبد للمبالغة في الكثير من الأحيان,خوف,الخوف,Fear,المدير المستبد
366, جعل صديقه الملحد يمتلأ  [MASK]   و كأنه يجزم بأن ما قدمه هو الحقيقة المطلقة,رعب,الخوف,Fear,كأنه يجزم بأن ما قدمه هو الحقيقة المطلقة
367, جل  [MASK]   تجاه الكتاب نشأ نتيجة تجاهله للعواقب البيئية والتدمير الذي يسببه النشاط البشري,حنق,الغضب,Anger,تجاهله للعواقب البيئية والتدمير
368, حال غسان كان  [MASK]   كثيرا لأن غادة تبتعد عن ذلك القلب المرهف,حزن,الحزن,Sadness,غادة تبتعد عن ذلك القلب المرهف
369, حجز الفندق عن طريق الوكالة لكن كانت هناك  [MASK]  عندما وصل وجد الفندق تحت الترميم,مفاجئة,المفاجأة,Surprise,عندما وصل وجد الفندق تحت الترميم
370, حجزت بالموقع بقيمة الحجز بعدين  [MASK]   بالضريبة والمبلغ وصل الى مئة درهم,فاجأ,المفاجأة,Surprise,الضريبة والمبلغ وصل الى مئة درهم
371, حجزت غرفة بإطلالة وسريرين و [MASK]   بغرفة اصغر مساحة وبها ثلاث أسرة وممر ضيق وشباك صغير,فاجأ,المفاجأة,Surprise,غرفة اصغر مساحة وبها ثلاث أسرة
372, حدثت مشاجرة بين نزلاء في الفندق وكانوا مخمورين مما اشاع  [MASK] ,خوف,الخوف,Fear,حدثت مشاجرة بين نزلاء في الفندق
373, حسن  [MASK]   ويكيل الشتائم لأمريكا الظالمة,غاضب,الغضب,Anger,لأمريكا الظالمة
374, حقا إن  [MASK]   فتنة و الألم اختبار يظهر فيه قدرتنا الحقيقية على الاعتصام بديننا و نقاءنا و طهرنا,غضب,الغضب,Anger,الألم
375, حكاية الشام  [MASK]   تعلن الحداد عندما سلبها غرباء مارقون وألبسوها رداء من غبار ودم,حزين,الحزن,Sadness,سلبها غرباء مارقون وألبسوها رداء من غبار ودم
376, حينما تحدث المسؤول عن الفساد المستشري في المؤسسات الحكومية ببرود وعدم اكتراث، شعرت ب [MASK]   المستوى متدني جدا,القرف,الاشمئزاز,Disgust,الفساد المستشري في المؤسسات الحكومية
377, حينها تمزق شعرها من صديقتها الخائنة... وتنشب اظافرها في الهواء من [MASK] ,غيظ,الغضب,Anger,صديقتها الخائنة
378, حينما كبرت أصبحت قلقا كعادة البشر حينما ينضجون فيشغرون ب [MASK]   من الحياة,خوف,الخوف,Fear,الحياة
379, خبرة مريعة و مثيرة ل [MASK]   في فندق لولو أسفار المتسخ,اشمئزاز,الاشمئزاز,Disgust,فندق لولو أسفار المتسخ
380, خفة شخصيات الرواية التي لا تزال تومض لي  [MASK]   حتى أكتب هذه المراجعة,فجأة,المفاجأة,Surprise,خفة شخصيات الرواية
381, خلال قراءتي كنت  [MASK]   للغاية أن تكون مثل هذه الطاقات اللغوية مهدورة على حشو لا طائل منه,حزين,الحزن,Sadness,مثل هذه الطاقات اللغوية مهدورة على حشو لا طائل منه
382, د.رضوى ت [MASK]   على من ينظرون للمرأة نظرة دونية على أنها مخلوق ناقص عقل,سخط,الغضب,Anger,من ينظرون للمرأة نظرة دونية
383, دائما اكون  [MASK]   عند الانتهاء من قراءة اي كتاب,سعيد,الفرح,Joy,لانتهاء من قراءة اي كتاب
384, درويش كان  [MASK]   في بعض الأبيات ترك قلبه يسيل كالجرح غليظ الفتق,حزين,الحزن,Sadness,قلبه يسيل كالجرح غليظ الفتق
385, دون مقدمات و  [MASK]   خرج وليد من السجن وبعدها مباشرة عاد الى عمان ثم الجبل,فجأة,المفاجأة,Surprise,خرج وليد من السجن وبعدها مباشرة عاد الى عمان
386, ذكرنى كثيرا بالشيطان فى موقف السجود والرفض و [MASK]   والتغطرس والتحدى,غضب,الغضب,Anger,ذكرنى كثيرا بالشيطان فى موقف السجود والرفض
387, ذلك الألم الذي  [MASK]  ، و نحاول تجنبه الألم الذي لا بد منه,خاف,الخوف,Fear,الألم
388, ذلك الشيء الغامض [MASK]   نبيهور فاكتفي برسم معالم منطقة الحجاز,خاف,الخوف,Fear,الشيء الغامض
389, ذهبت سنة من حياة ذلك الإنسان بسبب  [MASK]   شخص من عدم اهتمامه,خوف,الخوف,Fear,عدم اهتمامه
390, رأى واحد فقط قال انها رواية منحطة تثير [MASK]   ولكن مقارنة بعدد الاراء التى تمدح فيها هو صحيح جدا,قزز,الاشمئزاز,Disgust,رواية منحطة
391, رائحة الدخان تعج بالغرفة بشكل  [MASK] ,قزز,الاشمئزاز,Disgust,رائحة الدخان
392, رايتشل  [MASK]  بمكالمة تبلغها بطلب الرئيس الامريكي مقابلتها شخصيا بالبيت الابيض,فاجأ,المفاجأة,Surprise,طلب الرئيس الامريكي مقابلتها شخصيا
393, ربط التحليل النفسي بالمخدرات بعالم الجن والشياطين بهذه الصورة الغريبة مثير جدا لل [MASK] ,قزز,الاشمئزاز,Disgust,ربط التحليل النفسي بالمخدرات بعالم الجن والشياطين
394, رجل جبان طالما  [MASK]   عليه طوال ثلاثمائه ورقه,حنق,الغضب,Anger,رجل جبان
395, رداء أحمر يلوحون به للشعب يثير [MASK]   حين ينزل كثور هائج في ساحة كوريدا,غاضب,الغضب,Anger,رداء أحمر يلوحون به للشعب
396, رسائل غرامشي  [MASK]   جاءت جارحة مشحونة بالكبت و الانفعالات,حزين,الحزن,Sadness,جارحة مشحونة بالكبت و الانفعالات
397, رسائل غسان محملة بالايجابية وكانه يكتبها لي انا اقراها شعرت ب [MASK]   وكان قلبي يرفرف في السماء,فرح,الفرح,Joy,رسائل غسان محملة بالايجابية
398, رشيد غليظ قاسى القلب متحجر الإحساس والمشاعر شنيع الطباع يصيبك ب [MASK]   فقط,اشمئزاز,الاشمئزاز,Disgust,رشيد غليظ قاسى القلب متحجر الإحساس
399, رواياته مليئة ب [MASK]   جدا ومحشوة بالألم لأنه دائما يختمها بنهاية ألييمة تجعلني اتألم معه ومع أبطاله,حزن,الحزن,Sadness,دائما يختمها بنهاية ألييمة
400, رواية  [MASK]   تحكي عن جريمة قتل لكاتب عربى,حزن,الحزن,Sadness,جريمة قتل
401, رواية  [MASK]   جدا بكيت من كل قلبي لما أنهيتها على حالنا نحن المسلمين,حزن,الحزن,Sadness,حالنا نحن المسلمين
402, رواية  [MASK]   ذات طابع نصراني في كل كلمة منها .... مع إلحادهم وإنكارهم لكل شيء ديني,قزز,الاشمئزاز,Disgust,إلحادهم وإنكارهم لكل شيء ديني
403, رواية  [MASK]   فعلا لما فيها من تجاوز للأدب,رعب,الخوف,Fear,ما فيها من تجاوز للأدب
404, رواية بعثت في روحي  [MASK]   من واقع مرير... للاسف هذا واقع في مجتمعاتنا العربيه,اشمئزاز,الاشمئزاز,Disgust,واقع مرير
405, رواية تتحدث عن مؤسس الحشاشين الذين ملؤوا البلاد الإسلامية  [MASK]   باغتيالتهم المتكررة,رعب,الخوف,Fear,اغتيالتهم المتكررة
406, رواية تثير  [MASK]   من ان نفقد ادميتنا,خوف,الخوف,Fear,ان نفقد ادميتنا
407, رواية تحكي عن العفاريت تجعلنى  [MASK]   من الحركة قيد أنملة خارج غرفتى,خائف,الخوف,Fear,العفاريت
